address,sound_id,source,context_before
0x2353,0x0D,immediate,"2346:	e8 ff a7             	call   0xcb48 | 2349:	c7 06 2c 07 00 00    	mov    WORD PTR ds:0x72c,0x0 | 234f:	b8 0d 00             	mov    ax,0xd | 2352:	50                   	push   ax"
0x24A9,0x0D,immediate,"249c:	e9 77 ff             	jmp    0x2416 | 249f:	c7 06 bc 00 00 00    	mov    WORD PTR ds:0xbc,0x0 | 24a5:	b8 0d 00             	mov    ax,0xd | 24a8:	50                   	push   ax"
0x34FC,0x08,immediate,"34f2:	e8 bf ce             	call   0x3b4 | 34f5:	83 c4 0c             	add    sp,0xc | 34f8:	b8 08 00             	mov    ax,0x8 | 34fb:	50                   	push   ax"
0x3510,0x16,immediate,"3505:	26 80 7f 01 02       	cmp    BYTE PTR es:[bx+0x1],0x2 | 350a:	75 08                	jne    0x3514 | 350c:	b8 16 00             	mov    ax,0x16 | 350f:	50                   	push   ax"
0x3702,0x0A,immediate,"36f7:	57                   	push   di | 36f8:	c7 06 96 00 90 01    	mov    WORD PTR ds:0x96,0x190 | 36fe:	b8 0a 00             	mov    ax,0xa | 3701:	50                   	push   ax"
0x3BA2,0x02,immediate,"3b98:	e8 19 c8             	call   0x3b4 | 3b9b:	83 c4 0c             	add    sp,0xc | 3b9e:	b8 02 00             	mov    ax,0x2 | 3ba1:	50                   	push   ax"
0x3C4A,0x03,immediate,"3c40:	e8 71 c7             	call   0x3b4 | 3c43:	83 c4 0c             	add    sp,0xc | 3c46:	b8 03 00             	mov    ax,0x3 | 3c49:	50                   	push   ax"
0x4083,0x0B,immediate,"4079:	05 0a 00             	add    ax,0xa | 407c:	a3 2e 07             	mov    ds:0x72e,ax | 407f:	b8 0b 00             	mov    ax,0xb | 4082:	50                   	push   ax"
0x40B7,0x10,immediate,"40ae:	a9 07 00             	test   ax,0x7 | 40b1:	75 27                	jne    0x40da | 40b3:	b8 10 00             	mov    ax,0x10 | 40b6:	50                   	push   ax"
0x4133,0x0C,immediate,"4129:	b8 04 00             	mov    ax,0x4 | 412c:	a3 34 07             	mov    ds:0x734,ax | 412f:	b8 0c 00             	mov    ax,0xc | 4132:	50                   	push   ax"
0x41FA,0x00,immediate,"41ec:	c7 06 2c 07 3a 00    	mov    WORD PTR ds:0x72c,0x3a | 41f2:	c7 46 fa 00 00       	mov    WORD PTR [bp-0x6],0x0 | 41f7:	33 c0                	xor    ax,ax | 41f9:	50                   	push   ax"
0x4204,0x11,immediate,"41fd:	59                   	pop    cx | 41fe:	eb 08                	jmp    0x4208 | 4200:	b8 11 00             	mov    ax,0x11 | 4203:	50                   	push   ax"
0x4222,0x14,immediate,"4219:	75 0d                	jne    0x4228 | 421b:	e8 1d 18             	call   0x5a3b | 421e:	b8 14 00             	mov    ax,0x14 | 4221:	50                   	push   ax"
0x422C,0x17,immediate,"4225:	59                   	pop    cx | 4226:	eb 08                	jmp    0x4230 | 4228:	b8 17 00             	mov    ax,0x17 | 422b:	50                   	push   ax"
0x4462,0x01,immediate,"4456:	83 c4 0a             	add    sp,0xa | 4459:	c7 46 fa 1e 00       	mov    WORD PTR [bp-0x6],0x1e | 445e:	b8 01 00             	mov    ax,0x1 | 4461:	50                   	push   ax"
0x4CF3,script byte,actor/script opcode 0x07,"4cec:	e9 57 fe             	jmp    0x4b46 | 4cef:	32 e4                	xor    ah,ah | 4cf1:	ac                   	lods   al,BYTE PTR ds:[si] | 4cf2:	50                   	push   ax"
0x547E,variable,runtime variable,"5474:	83 c4 08             	add    sp,0x8 | 5477:	e9 db 00             	jmp    0x5555 | 547a:	e8 cb 76             	call   0xcb48 | 547d:	57                   	push   di"
0x58E5,0x18,immediate,"58d5:	c7 06 9a 00 9f 00    	mov    WORD PTR ds:0x9a,0x9f | 58db:	c7 06 74 17 01 00    	mov    WORD PTR ds:0x1774,0x1 | 58e1:	b8 18 00             	mov    ax,0x18 | 58e4:	50                   	push   ax"
0x596F,0x18,immediate,"5964:	59                   	pop    cx | 5965:	c7 06 74 17 01 00    	mov    WORD PTR ds:0x1774,0x1 | 596b:	b8 18 00             	mov    ax,0x18 | 596e:	50                   	push   ax"
0x5D11,0x0F,immediate,"5d04:	a3 b8 c0             	mov    ds:0xc0b8,ax | 5d07:	c7 06 b6 c0 01 00    	mov    WORD PTR ds:0xc0b6,0x1 | 5d0d:	b8 0f 00             	mov    ax,0xf | 5d10:	50                   	push   ax"
0x5D34,0x0F,immediate,"5d27:	a3 b8 c0             	mov    ds:0xc0b8,ax | 5d2a:	c7 06 b6 c0 01 00    	mov    WORD PTR ds:0xc0b6,0x1 | 5d30:	b8 0f 00             	mov    ax,0xf | 5d33:	50                   	push   ax"
0x5D57,0x0F,immediate,"5d4a:	a3 b8 c0             	mov    ds:0xc0b8,ax | 5d4d:	c7 06 b6 c0 01 00    	mov    WORD PTR ds:0xc0b6,0x1 | 5d53:	b8 0f 00             	mov    ax,0xf | 5d56:	50                   	push   ax"
