address,sound_id,source,context_before
0x8D4C,0x17,immediate,"8d42:	26 80 3f ff          	cmp    BYTE PTR es:[bx],0xff | 8d46:	75 0a                	jne    0x8d52 | 8d48:	b8 17 00             	mov    ax,0x17 | 8d4b:	50                   	push   ax"
0x8DA4,0x0E,immediate,"8d9c:	e8 b8 de             	call   0x6c57 | 8d9f:	59                   	pop    cx | 8da0:	b8 0e 00             	mov    ax,0xe | 8da3:	50                   	push   ax"
0x8FB2,0x17,immediate,"8fa8:	26 80 3f ff          	cmp    BYTE PTR es:[bx],0xff | 8fac:	74 0a                	je     0x8fb8 | 8fae:	b8 17 00             	mov    ax,0x17 | 8fb1:	50                   	push   ax"
0x8FE2,0x1A,immediate,"8fd6:	26 89 07             	mov    WORD PTR es:[bx],ax | 8fd9:	c6 06 32 c1 ff       	mov    BYTE PTR ds:0xc132,0xff | 8fde:	b8 1a 00             	mov    ax,0x1a | 8fe1:	50                   	push   ax"
0x904C,0x1B,immediate,"9044:	59                   	pop    cx | 9045:	e8 00 3b             	call   0xcb48 | 9048:	b8 1b 00             	mov    ax,0x1b | 904b:	50                   	push   ax"
0x9AD1,0x15,immediate,"9ac8:	33 f6                	xor    si,si | 9aca:	e9 89 00             	jmp    0x9b56 | 9acd:	b8 15 00             	mov    ax,0x15 | 9ad0:	50                   	push   ax"
0x9D80,0x09,immediate,"9d78:	c3                   	ret | 9d79:	e8 cc 2d             	call   0xcb48 | 9d7c:	b8 09 00             	mov    ax,0x9 | 9d7f:	50                   	push   ax"
0xB82A,0x19,immediate,"b81d:	e8 28 13             	call   0xcb48 | b820:	c7 06 74 17 01 00    	mov    WORD PTR ds:0x1774,0x1 | b826:	b8 19 00             	mov    ax,0x19 | b829:	50                   	push   ax"
0xBD3D,0x0B,immediate,"bd33:	05 0a 00             	add    ax,0xa | bd36:	a3 2e 07             	mov    ds:0x72e,ax | bd39:	b8 0b 00             	mov    ax,0xb | bd3c:	50                   	push   ax"
0xBD71,0x10,immediate,"bd68:	a9 07 00             	test   ax,0x7 | bd6b:	75 25                	jne    0xbd92 | bd6d:	b8 10 00             	mov    ax,0x10 | bd70:	50                   	push   ax"
0xBDE9,0x0C,immediate,"bddf:	b8 04 00             	mov    ax,0x4 | bde2:	a3 34 07             	mov    ds:0x734,ax | bde5:	b8 0c 00             	mov    ax,0xc | bde8:	50                   	push   ax"
0xBE67,0x00,immediate,"be59:	c7 06 2c 07 3a 00    	mov    WORD PTR ds:0x72c,0x3a | be5f:	c7 46 fc 00 00       	mov    WORD PTR [bp-0x4],0x0 | be64:	33 c0                	xor    ax,ax | be66:	50                   	push   ax"
0xBE71,0x11,immediate,"be6a:	59                   	pop    cx | be6b:	eb 08                	jmp    0xbe75 | be6d:	b8 11 00             	mov    ax,0x11 | be70:	50                   	push   ax"
0xBE89,0x14,immediate,"be80:	75 0d                	jne    0xbe8f | be82:	e8 b6 9b             	call   0x5a3b | be85:	b8 14 00             	mov    ax,0x14 | be88:	50                   	push   ax"
0xBE93,0x17,immediate,"be8c:	59                   	pop    cx | be8d:	eb 08                	jmp    0xbe97 | be8f:	b8 17 00             	mov    ax,0x17 | be92:	50                   	push   ax"
0xC016,0x01,immediate,"c00a:	83 c4 0a             	add    sp,0xa | c00d:	c7 46 fc 1e 00       	mov    WORD PTR [bp-0x4],0x1e | c012:	b8 01 00             	mov    ax,0x1 | c015:	50                   	push   ax"
0xC96B,unknown,unknown,"c960:	83 3e 74 17 00       	cmp    WORD PTR ds:0x1774,0x0 | c965:	74 0e                	je     0xc975 | c967:	a1 8a 1e             	mov    ax,ds:0x1e8a | c96a:	50                   	push   ax"
